Organisation,Number of payments,Total amount
Tadcaster Bowling Club,1,60
Letting Complete Ltd,1,585
Stanningley Cars Ltd,276,126873.71
Hessle Fork Trucks,41,58045.44
C H Dobrowolski,1,25000
Lesley Lear & Gillian Fordham,1,450
Costar Uk Ltd,15,49925.51
THE HENRY MOORE FOUNDATION,4,88006.52
Oak Farm Hotel,1,193.5
Nisai Virtual Academy,1,2750
Dclg,1,2489951
Kippax Hall Surgery,31,22834.89
Jones And Son,1,107.75
Nortonics Foxtam Ltd,1,93.96
Dream Reality,1,650
Uk Timber Ltd,2,2798.1
Colliers International,5,45653
Rosies Diner,5,102.85
Lahore Deli Bar Leeds,12,213.84
Wm Morrison 051,1,6
Frontier Plastics Ltd,39,192255.88
Meridian Properties Leeds Ltd,101,35068.7
Ofsted Moto,11,20146.16
Poundstretcher 0738,1,5.23
Tld International Ltd,1,755
Cherish Property,1,550
J N BENTLEY LTD,1,4658.74
Makitauk.Com,1,300
Howard Lovelady Associates Ltd,22,93923.65
Morpho Detection (Uk) Ltd,2,768.96
Borough Of Poole,1,10
Yorkshire Fence Hire Ltd,1,2492.35
Rga Uk Ltd,3,1777
Royal Mail Group Ltd,2317,5145842.5
Shire Oak Primary School Pupil,3,1525
Etap Leeds,8,245.52
Brenland Leisure Ltd,2,1465
Southend Borough C,2,23.17
Elland Silver Band,3,600
ARTICULATE ADVOCACY,4,21454.65
Dynniq,189,2622368.46
Liberty Services,7,11746
Paypal *devon Ang,1,79.84
Foremans Relocatable Building Systems,74,179325.28
Leeds Queer Film Festival,3,1573
Albert Innes Ltd,2,15466.5
Gary Wilson Rba Ltd,1,906
Robert Christopher H Trenholme,2,325
Shelagh Goldthorpe,8,2977.33
OXFORD GRANGE NURSING HOME,2,2131.68
Howard Matthews Partnership,1,3600
North East London Nhs Foundation Trust,3,495
University Of Bristol,1,703.7
Pollock Lifts,109,994303.7
Nomad,3,1817.75
Rm Stradling: The Dinner Theatre Company,2,414.35
Cades Ltd.,3,1983
James Valentine Removals,1,586
Full Circle Leeds,1,150
Anna Jaques,4,140
St Marys Church Of England,3,250
Greggs - S1280,1,11
Coffee Delight,1,4.8
The Conversation Agency,1,356.5
Govnet Communications,39,17276
Www.Bollards.Co.Uk,1,98
G L Harris,3,339.5
LIFEFORCE PRODUCTIONS,1,1400
The R U Company,1,95.79
Leeds Methodist Choir,3,2365
Parker Shop Equipment,2,552.5
Image Screen Arts,1,144
Royal Air M C15446715306,1,690.08
Savers,1,8.76
Smart Parking Ltd,2,30872
Young Peoples Awareness Project,1,800
Migrant Helpline,1,80
Rothwell Leisure Centr,1,7.67
Spencer-Brookes De,1,23
Harehills In Bloom,1,105
Peter J Fleming,3,2763.43
E-Bedding Ltd,1,9.16
Www.Envosort.Co.Uk,1,625.5
Roger V Moody,3,1000
Geographers A-Z Map Co,10,216.64
Sherwood Forest Hospitals Nhs Foundation,21,2874.78
Agm Joinery And Building Contractors,4,19445
LONDON BOROUGH OF CAMDEN,1,1023.75
Pro Event Yorkshire,1,730
Van Walt Agricultural Sv,1,379.29
Castlebeck Care (Teesdale) Ltd,28,1289910.94
Manchester Student Vil,1,99
Andrew Ives,10,8905
Urbanfab Street Products,1,2170
Snowgoose Theatre Company,1,628.83
Bluebird Care Wakefield,8,3780
Innovar Sign And Design Ltd,1,22.6
J Keith Park Solicitors Clients Account,175,523529.08
Le Chien Boutique,2,1000
Facultymedi,1,174
Spd Consultants,1,300
Sally Morgan Entertainments Ltd,11,30871.8
A Star Couriers Ltd,78,4044.55
Nigel Clarke,2,758
Fultons Foods Yeadon,1,5.62
Www Oppassessment Eu Com,6,927.5
Www.Industville.Co.Uk,1,150
Beech Hill Car Park,36,246.75
Morris Leslie South East Ltd,4,8336
Resort Marketing Ltd,1,1795
Alexander Pope,1,72.5
Lochinvar Ltd,57,159083.66
Turner & Wood,1,52.18
PARKSIDE RESIDENTIAL HOME,2,7850.48
Siobhan Tear,3,2580.77
Sunfield Medical Centre,24,20273.12
P G & J Gaunt Bus,5,784
Ith Building Services Ltd,1,10975.14
Polish Catholic Mission,3,450
Eb *sodac Study Day Be,1,22.15
Eleanor Fry,2,1475
Leeds Samaritans,1,100
Active Kids Day Nursery,74,230656.16
Mitchell Fox & Co,7,2828.46
Slm Snow Blowers,1,6840
Yorkshire Forward,4,128161.45
An Agency Called England,1,480
Sunnyside Nursing Home  Dewsbury,49,195071.11
Newsquest Media Group Ltd,1,450
Newcomen Consultancy Ltd,5,5186.5
Katharine Holland,5,20250
COMMUNITY LINKS LTD,17,539575.03
Suburban Home Studio,3,7500
Dominic French,1,650
Wyg Environment Planning,1,30
Morley Scrabble Club,1,300
Rich Williams,2,800
DEPARTMENT OF WORKS & PENSIONS,1,500
DEARN VALE,2,10718.4
Independent Living Project Ltd,598,602610.800000001
A E Yates Ltd,60,6198497.82
St Agnes' Church Hall,2,96
Wp-Okane Irish Fo,1,60.43
The Spinney,176,1945776.17
ZOGGS (INTERNATIONAL) LTD,1,738.15
Cba Spindlewood Ltd,3,6123.37
Solar Contracts (UK) Ltd,2,1340.22
Southern Cross Healthcare Group Plc,19,141723.16
Clarion Solicitors Client Account,4,82240.6
Wellington College,1,100
Gardiner Security Ltd,75,70185.78
Paul Costello,21,17075
Pudsey Royal British Legion Club Ltd,1,300
Progress Plant (Yorkshire) Ltd,1,673.11
ZIPPORAH LTD,1,1400
Alan Gardner Associates,6,9304
Meteor Electrical,3,91.45
PREMIER PEOPLE SOLUTIONS LTD,9,11625
Stuart Jamieson,1,329.8
John M Parker,45,13489.65
3ddisplaysl,6,2659.84
Mighty Men Of Valour,2,1611
Novotel Leeds Centre,11,920.81
Chethams School Of Music,5,1208.33
Jefferies Solicitors Ltd Client Account,1,6400
Gill Impey,8,1675.39
CHAPELTOWN CITIZENS ADVICE BUREAU,2,97128.75
Nesfield Lodge,212,3762867.2
Kirkstall Festival,20,44905
Cunjy'S Castle,1,225
Lyons Solicitors,3,2151
Paypal *mediaentert,1,8.86
Hurley Group,1,151.42
Vandan Group,6,3860
Scrap Creative Reuse Arts Project Ltd,161,130389.37
Bp Gledhow S/stn,8,371.29
Mod Pizza Ltd,2,198.82
Elizabeth Isaacs,1,721.09
Stafford Law Associates Ltd,1,1500
H20 Unity,1,490
Fcs Associates Ltd,1,4854.5
Safelincs Ltd,1,474.75
Groundwork Design,2,640
Paypal *fancy Dress,6,187.68
Stabilised Pavements Ltd,3,69414
Nina Spilsbury,1,480
Celebrity Pr Ltd,1,1750
Salvos,1,90.9
Fasthosts Internet,2,41.92
North Midland Construction Plc,430,19604747.28
Caroline Wiltshire,2,70
Gahir Developments Ltd,6,64929.77
Duncan Morrell Music Services,1,50
Black & Blum,1,1321.92
Cheviot Recruitment Ltd,9,7645.86
Gillard Group,5,42773.05
LEEDS WEST INDIAN CENTRE LTD,1,4540
Universal Car And Van Specialists,1,1750
Catholic Care,225,1453045.52
WYG MANAGEMENT SERVICES LTD,1,530
Emily Ward,3,2243.75
HAPPY TIMES LEEDS LTD,2,7633.51
The Uniform Centre,1,150
Jla Total Care Ltd,14,43560
Jc Applications Development,5,27068
Akc Systems Ltd,2,2150.31
Konstantinos Spyropoulos,4,2300.31
Supershop,58,438.41
Db Outdoor Systems Ltd,1,877.5
Ruth Murtagh,19,1205
Health & Safety Lab,2,1526
Be Festival C.I.C,2,1500
Alexander Residential Home,333,3187421.57
Armley Helping Hands,51,849075.17
Clarke Internation,2,14.73
Siam Square Leeds,2,495
Quay Plastics,1,43.92
Just Car Clinics Ltd Leeds,27,23231.1
Eb *infographic Storyt,1,249
Mears Ltd,6700,273771220.919999
Kfc - Peel Street,1,5.48
G And R Properties,1,450
Beechkeys Ltd,5,47874.64
St Lukes  Nursing Home,20,197354.98
A  Fulton Company Ltd,1,1970.4
Cotswold Outdoor,4,373.25
Centre For Literacy In Primary Education,1,1200
Prowse Phillips Law Ltd,2,2523.8
Gw Theatre Company Ltd,1,5000
D J Hemingway,1,2837.5
Ove Arup International Partners Ltd,1,43689.23
Bolling Coffee Ltd,1,320.44
Rodina,1,125
Business Visits & Events Partnership,1,815
Ruth Hicks Social Care Consultant,1,450
L Cornelissen & Son Ltd,2,512.43
HALL STEADS,2,1463.44
Tpas,14,16771.5
St Wilfrid'S Church,25,921
Ross Cannon,4,6367.5
Youth Justice Board,187,1019929
S Singh Khurana,1,10470
Watco Uk Ltd,3,1285.35
Headingley Preschool,10,77784.06
Young Solutions,1,3688
Creativevents Olympia,3,41.3
Syldon Environmental,1,3223
Walton & Allen Properties Ltd,1,550
Get Cooking!,8,12045.56
What'S Coming Out Of The Box?,1,698.7
Crossroads Care Airedale And Bradford,2,87.05
Brm Productions Ltd,1,21760
Wellington Place General Partners Ltd,5,309661.24
The British Bung Manufacturing Co Ltd,1,2500
K Nelson,3,1598.1
Animals Uk,1,395
Templegate Tiny Tots,128,753693.02
Www.Wescot.Co.Uk,1,313.15
Greene King,1,900
Model Shop Leeds,2,46.44
Greystones Nursing Home Ltd,1,2278.92
Www.Plasticsheets.Com,1,48.81
Letitia M Archibald,14,288.91
Mark Pickersgill,1,51
J C Gillespie Ltd,1,1250
Aberford Cofe Primary School Pta,1,230
PHOENIX DANCE THEATRE,2,2800
Tesco Pfs 3117,1,15.88
City Electrical Fa,22,1294.15
J Newman,1,120
The Common Guild,1,167
Thompson Solicitors,1,1150
Butterflys Day Nusery,1,2063
Aelred Hookway,3,2292.65
Catapult Group,2,1500
Pool In Wharfedale Wi,1,50
Royal Mail Group Plc,143,542957.2
Doortoplane.Com,26,3641.44
Idscouk,1,23.64
Gt Printing (Leeds) Ltd,3,1537
The Phoenix Works,1,19796.16
Caolan Keaveney,1,80
Name,1,700
Emma King,1,600
Crossbow Education,8,128.09
Dove Adolescent Services Ltd,272,3727471.5
The National Skills Academy For,7,15785
Leonine Productions Ltd,2,2007
HANDS-ON FINISHING(LEEDS)LTD,1,6954
Tesco-Tescopay,3,281
St Giles Bramhope P.C.C,1,2000
Tydenbrooks Spg,7,6609
Samby Construction,1,14800
Beat It Music Cic,19,24345
Rooley Lane Surgery,4,454.26
Jones & Co Solicitors,1,523.56
Joseph Barrett,2,2350
Voluntary Action Calderdale,1,484.48
The Angela Grace Care Centre,39,58896.44
A & A ELECTRICAL DISTRIBUTORS LTD,3,4019.63
Oliver Thurley,1,200
Second Chance Headway Centre,182,69079
Ab Cars (Garforth) Ltd,44,15142
Hobbies Together,1,100
Xc Trains Ltd,8,38.73
Rothery Inesons,3,72000
Watercoolersdirect.Com Ltd,1,154.8
Mailchimp,63,5008.81
M And Mp Housing,8,16304.27
Arrow Commercial Centre Huddersfield Ltd,2436,289886.73
Eb *leeds Together Bre,1,40
CLUB CARS,20,38580.71
PC PEST CONTROL LTD,1,2360
Paul Holman Associates,50,997059.36
Paypal *deanharriso,1,5.97
Ashwood Gifts Ltd,76,63517.31
Www.Partyrama.Co.Uk,5,651.83
Webmediadesign Ltd,5,5485
Asc Metals Lincoln Ltd T/A Ace Engineers,19,123421.8
Slim Fit Life Ltd,1,1407.5
Forever Thoughts Ltd,19,15815.86
Roberts Castings Ltd,1,1295.8
Intercontinental Hangz,4,1457.71
Woodside Big Band,2,400
Hicks & Weatherburn Ltd,11,868.19
Leeds - Holbeck,5,821.24
Tingley With Woodkirk In Bloom,2,1000
Naburn Court Social Club,1,200
Teramind Inc.,2,534.66
Clas Ohlson,26,460.55
Context Engineering Ltd,4,10871.33
East Coast Trains,1,1099.15
Rob Ward,1,20.6
Jan Brown,13,6965
Reuben Sadler,11,7380
Lubera Ag,1,34.75
John Hanlon & Company Ltd,136,478644.76
Spirit Of Air Ltd,8,3288.22
Shirley Kilpatrick,1,688
Tgi Fridays,10,413.08
Brighton & Hove Council,1,100
Show Racism The Red Card,1,2500
Soroptimist International Of Aireborough,1,200
St Aidans Parochial Church Council,11,4230
Three Hares Property,1,650
Pied Piper Childcare Centre,1,71.85
The Wallace Collection,1,6.99
Tate Business Group Ltd,1,104.45
Waterstones Booksellers Ltd,48,31952.43
Kfc - Haymarket,1,5.99
Golden Acre Tea Rooms,1,5.2
Coca-Cola Enterprises Ltd,40,32939.96
Monster Kidz Leeds Ltd,8,61.05
Trinity Conferences,1,23.04
Multimedia Installations Ltd,1,3652
Mandy Fowler,1,1287.5
Diamond Properties Yorkshire Ltd,1,500
Moussa Direct Ltd,1,261.2
Access Locksmiths (Leeds) Ltd,1823,254213.019999999
Westfield Kennels Ltd,1,230
Leeds Youth Opera,21,110189.53
Lock-Tec,9,15161.44
Moto Peterborough  Cos,1,5.51
Prism Medical Uk,2,982.51
Jenna Rymer,1,80
Nj Metals,1,100
Wizz Air Hun000 W78rs,1,241.84
Lightingeve,3,438.13
Amelia Letima,1,2400
Crazypricebeds,1,279.99
Carry Franklin,1,990
Ajm Fixings & Power Tools Ltd,914,698658.229999999
Roger Tuby And Stuart Robinson,1,545
Davpack,1,468.99
Livingsocial,1,11.99
Lee & Partners,32,183874.15
La Bottega Milanese Coff,1,8
Leeds Roller Dolls Ltd,2,2329
Numatic Internatio,53,46060.24
Estate Sawmills,40,8405.27
J P Tang,58,19982.33
Rms Ltd,1,421
Bridgecraft Interiors Ltd,5,22500
BEECHTREE KINDERGARTEN,2,17016.31
EDEN BROWN RECRUITMENT LTD,16,13414.54
Eb Community In Educa,1,20
Www.Formbar.Co.Uk,1,85
Print On Labels Ltd,1,45
Paypal *ndbconstruc,1,41.17
Www.Matsnationwide.Co.,1,114.99
Lambsgate Health Centre,1,85
George Madine,1,1400
J H Fernandes,32,2151.02
Frampton House Residential Care Home,1,560.1
Allersafe.Co.Uk,1,144.98
Mak-A-Home,3,34.67
Jurys Inn Leeds Front Des,2,250.5
Advonet,254,6553184.75000001
British Geological Sur,6,483.52
Bryco Group Ltd,1,32.29
John Catt Educational Ltd,2,612.32
Trueform Engineering Ltd,33,366062.12
Connaught Partnerships Ltd,27,7608882.78
Bradford And Northern Housing,16,17266.75
Kirklees.Gov.Uk,12,1028.34
Eb *leeds Govjam,3,96
Millbrook Proving Ground Ltd,1,270
Siemens Financial Services Ltd,106,722592.06
Family First Fostering,2,13217.14
The Miah Solicitors,2,7078.2
Reeds Rains - Castleford,1,600
Www.Pestcontroldirect.,1,64.3
Leeds Beckett University,604,1298291.29
Cascade Software Ltd,9,21543.5
Rex International,1,517.28
Dr Boonin & Partners,1,562.5
Mark Wiggins,1,650
Family Risk Assessment Ltd,1,919.79
Tool Box Lm,3,100
Rehabilitation Manufacturing Services,3,6132
PURCHASE POWER,1,617.41
M & C Meats,23,3827.63
Otley Walking Festival,4,900
Harmony Childrens Services,8,99235.97
Unite The Union,4,3325
Northern Monk Brewing Co Ltd,20,22244.54
North East Truck Spares Ltd,206,29852.51
Camden Food Compan,4,69.88
University Of Manchester,11,41857.5
Head Office Supplies,1,475
Field House Surgery,1,151.42
Nyas,3,819.91
Swindon Borough Council,1,43000
Livin Italy,1,55.23
The Robert Craven Memorial,1,20000
Fulneck School,97,523393.85
Nutramulch Leeds Ltd,115,250001.19
Cuckoo Ltd,32,22982.57
Blackburn It Services Ltd,4,32970
Kgb Productions,1,700
Www.Brunelengraving.Co,2,351
Arcadia Group Plc,2,121
Encore Envelopes Ltd,1,2762.5
The Yorkshire Brass Quintet,7,3300
Holy Trinity Meanwood,2,750
Moor Allerton Sport & Social Care,1,469.3
Hyde Park Unity Day,25,59472
Trailblazer Fitness,1,120
Www.Fisherscateringsup,3,271.23
Serious Ltd,2,8594.21
5i Ltd,5,27702
Leeds Ortho 1,4,3720
Blessed Edmund Sykes,1,330
Magical Wizard,1,40.99
Abm Critical Solutions Ltd,2,3669
Tynetec,54,214571.43
Law Society Financ,3,3807.54
Halliwell Homes Ltd,29,371990.29
Litigation Costs Services,1,20000
R I Bailey & Son,1,502.29
Crown Commercial Service,1,1944.02
Derby House Nursing Home Ltd,10,12099.88
Boiler & Heating Supplies Ltd,397,209980.6
Norwood House Nursing Home,28,66549.56
Yorkshire Film Archive,10,2996.67
Oracle Care Ltd,37,658117
Shire Hotels Ltd,1,3210.34
Newlife Cleaning Systems Ltd,11,14517
Jfmg,1,112
Blue Sky Coaches,1,250
Dwf Llp,87,3457835.94
Michael Pease Social Work Consultancy,35,43801.21
York Pullman Bus Co. Ltd,15,8051.7
Paypal *cocktailess,1,19.5
Five Eight Print,1,960
Oakwood Cinema,4,10790
Kwik Fit,3,207.5
Hillfoot It Solutions,6,7088.75
Mulhouse Design,1,1914.08
Aberhill Primary School,1,400
Tim Curtis,3,3074
Paypal *sniperdeals,1,13.25
Edlira Wade,13,3400.53
Autism Plus Accounts,3,20150
Terry Laverty Joinery And Building,2,14340
Gunform International Ltd,1,6532
Pp*sohovintage,2,1920
The Salvation Army,238,1156385.12
Guiseley Stn To,1,4.92
The Poppy Appeal,15,2495
Tutti Frutti Productions,16,18270.77
Wordwave International Ltd,1,7.14
Central Foods Ltd,41,196624.82
Eb *supporting Non-Eea,2,90
Speedybooker.Com,3,350.5
Zara Leeds Briggate,3,193.89
Michelle Campbell,1,170
Github.Com *je619,1,18.79
Mrs Victoria Brown,1,500
Care Comm 2011 Ltd,1,390
Cragemoor Healthcare,66,1004473.45
Howorth Wrightson Ltd,1,528
British Military Martial Arts,1,410
M.S. Electrical Contractors Ltd,2,2467.5
Peter Spence,6,4884.5
Devon County Council,2,8554.28
Thomson Broadbent Llp,2,1152.5
Culture Creativity Place Ltd,27,121422.65
On The Wall,1,6.98
The Tetley,26,3052.45
Hawksworth Wood Ymca,5,31347
Antalis Mcnaughton Ltd,87,52756.54
Big Yellow S S Leeds,3,378.83
Paypal *henshawtimb,1,5.8
Friends Of Holbeck Social Group,2,11449.98
Paypal *mantra Ltd,1,51.5
Emily Ross,1,213.75
F. Bamford (Engineering) Ltd,50,492428.29
Philippa Wordsworth,28,61827.17
Mag:Net Solutions Ltd,25,48960.36
Johnathan L Hussey,7,718.29
RNIB SERVICES LTD,6,13631.88
Northern Parking Manag,2,14
Jpa Art Services,1,850
Piccadilly Ticketline Ltd,2,1010.24
Rocking Mobile,1,20
The Palace Hotel F And B,1,183.33
Lloyds Pharmacy 6472,16,503.22
Wildscapes Community,1,5500
Kinetica-Cnc,1,223.89
Parker Merchanting,1,83.3
Leeds Univ Union,11,62973.35
Ice Aid,36,253559.56
Neil Taylor Training,32,12316.57
Conosco Ltd,1,6263.19
Alvin Morris Ltd,61,46486.59
Diane Hampshire,1,2200
National Day Nurseries Association,1,9300
Www.Buydirect4u.Co.Uk,3,186.98
Paypal *countryhous,1,3.99
Middleton Railway Trust Ltd,4,575
WHITLEY FARM COTTAGES,4,41485.2
Stansfield House,1,6214.34
Explore Your Sense,1,81.35
Paypal *nsi Hq Ltd,1,89.99
Woodkirk Garage,1,680.2
Le Pain Qoutidien,1,7.45
Www.Excelparking.Co.Uk,1,100
Nicola Blackburn,2,150
Vericlaim Uk Ltd,72,44763.75
Midgleys,2,75.95
Cp Plus,3,30.66
Atherden Fuller Leng Ltd 2,1,12000
Shred It Europe Lt,2,618
ACKTON PASTURES JUNIOR & INFANTS SCHOOL,1,6525
Woolley Edge North Mwsa,1,30.26
Robin Hood Watersports,32,14578.55
Serina Dale,1,35
19th Nw Leeds (St Chads) Scout Group,1,100
Testconsult Ltd,2,7782.5
Taylor Design And Play Ltd,1,2692.5
Www.Lawrence.Co.Uk,1,95.78
Galanos House Nursing Care,15,6704.4
Www.Etoa.Org,2,1940
Diocese Of Leeds St Anne'S Cathedral,1,250
Met Surveys Ltd,1,1060
Www.Helpinghand.Co.Uk,1,167.63
GREEN LIGHT TRAFFIC MANAGEMENT LTD,3,2550
Proqquest Llc,1,7010
Totaljobs Group Ltd,2,398
Ace Engineers (Morley) Ltd,65,229245.15
Rs Plastering & Dry Lining Contractors,6,26849.77
Oludare Asekun,2,2680
Wickes Newsagents,49,8680.27
Paypal *madetelevis,2,250
Artsemergen,1,200
Www.Bedsonlegs.Co.,1,299.99
Currys Online,211,46313.3000000001
Tracy Craggs,9,6185
Ia Bargh,1,133
O Shittu,1,500
Association Of Commons Registration,4,600
Lubavitch Foundation,1,1500
Cross Green Village Residents Group,1,500
Arthington Parish Room,7,2688.8
Amora Blinds Ltd,1,300
Architecture Box Ltd,1,570
ANGELS NURSERY,2,13841.23
Mumtaz Foods Plc,13,3687.44
Holbeck Working Mens Club,4,2650
Environment Media Grp,1,266.5
Julie Taylor,3,2319
C H Quaker Meeting,1,100
Amateur Swimming Association,14,6965.05
Mullis And Peake Solicitors,3,5088.4
Uk Fixings Ltd,1,48.63
Erw Print Services Ltd,3,35807.5
Rick Harrison,1,1000
TERRY GROUP LTD,1,7657
Chris Sherwin,1,500
Scribblers Playgroup,63,100324.14
H&K Builders Leeds Ltd,1,4100
Milford Marlins Development Fund,1,1500
New Springwood Nursery,79,380706.14
Goodmusic,4,246.58
Escape Cyt,1,500
Melissa Gallimore,4,1250
Fyzal Boulifa,1,1000
Carolina Blinds,16,15853.36
Paypal *pimoroniltd,6,1182.89
MEDIATION LEEDS,7,26134.63
Sunderland Cc,3,30
Elspeth Moore,1,300
J Carroll,2,1598.43
Mn2s Management Ltd,6,8850
Land Registry,5,1841.5
Roc Northwest Ltd,25,247752.14
Dragon Photos,1,6.49
Sw Grid For Learning Trust Ltd,2,1175
Kfc - Glasshoughton,1,14.36
Proportion>London Ltd,10,10425
Andrew Dalton,3,1505
Woodhall Care Services,263,185795.48
Winning Moves Ltd,3,22825.23
John Sutcliffe Farming,1,350
Noah'S Ark Playcentre Private Nursery,31,91458.03
Quark,1,19
Maria Vericonte,1,225
Law Society,23,46713.27
Serf,1,900
Parsons Dowd Psychological Ltd,20,19627.5
The Drinkaware Trust,2,4496
Www.Medtree.Co.Uk,3,592.49
Remote Asset Management Ltd,21,8373.6
SIEMENS PLC,3,18092.81
Kexgill,1,2920
Reeds Rains House,2,1300
Waterfed-Pole (V/T),1,743
Iain Hutchinson,28,11906
Shopatboxrec,1,4229.1
Artav Ltd,2,17140
Animal Island Ltd,2,911.67
Eb *children And Famil,1,50
Pari Kariminia,60,11429.1
Ptarmigan Bell Pottinger,2,1500
ICON FILM DISTRIBUTION LTD,1,437.87
Farrar & Son Ltd,1,188
GSPK DESIGN LTD,1,3350
W Hannam,2,5130.8
Www.Theplasticshop.Co.,1,408.5
Mel Ainscow,2,11000
Donkin Education Ltd,10,44825
Nsr Management Ltd,5,4220
Timothy Wood Ltd,13,5578.45
P Duker,1,490
Dario Grandich,1,500
Friends Of Guiseley Cemetery,1,150
Moto Donington Park Wh,1,3.58
Susan C Stainforth,1,462
P H Freeman Ltd,50,16482.89
Methley Methodist Church,7,1855
Nothingbutpadlocks,1,59.99
Flannels,1,120
Peter Savage Ltd,31,90997
All Service 4 U,1,70.8
Mellor Auto Electrical,5,2493.27
R  Hackney,2,100
Maxine Best,21,8898.25
Em Air      176174584666,1,601.87
Jet2.Com Gbp,19,4556.84
Eclipse Automotive,3,1775
B Ketzer,1,50
A Cabs Of Abergavenny,1,44
Galle Face Hotel,1,806.55
Communities And Local Government,13,12793417.59
Chapel Allerton Town Street Lunch Club,4,8958.25
Sharedserviceslink.Com,1,1818
Specialist Switchgear Systems Ltd,22,3075.78
Angela Crossley,2,1774
W H Brown Lettings,26,17885.45
JOINTLINE LTD,4,18771
Andrew Warnock,1,36677.12
Girlings Retirement Rentals,1,45
East Ardsley Primary Academy,3,5181.6
Avery Weigh Tronix,24,32528.91
Christ The Saviour Church,18,6015
Lucy Hughes Biddle,1,1012.5
Lambert Smith Hampton Group Ltd,12,42682
Moneysupermarket.Com,2,16.87
Design Catering Equipment Ltd,1,1345
St Edmunds Hall,3,1350
Dowson Brothers,3735,190350.850000001
GUY SWIFFEN,4,5230
PASTA KING (UK) LTD,11,6020.1
Plowden & Smith Ltd,1,1955
Milewood Healthcare Ltd,27,221317
Qcas,1,280
Crestra Ltd,493,131473.33
OSBORNE DELTA (LIGHTNING CONDUCTORS) LTD,3,8939.28
Agricola House,83,463384.130000001
CZAJKA COMMUNITY CARE SERVICES,2,42213.5
Mindy Goose,1,900
Lawrence Zazzo,1,2300
Www.Reichelt.Co.Uk,2,29.87
Indigo Diversity Ltd,2,6615
Origin 7,1,46.95
Ebor Gardens Advice Centre,53,202933.24
D & R Childcare Ltd,49,118532.36
Simon Pallo,4,1654.8
St Marys Church  Whitkirk,5,2280
J Maxwell,1,150
Holbeck Mills Carpet Warehouse,14,17994.33
Local Schools Network,1,500
Dlp Consulting Group Ltd,1,3775.25
Travelex@asda,1,501.48
Catering Yorkshire (Leed,3,117.3
Hasan Hussain,1,70
Blackpool Pleasure,29,12960.8
La Coccinelle Ltd,27,137476.47
Blackburns Metals Ltd,303,262283.17
B M Associates,5,8659
Wakefield Floorcare,1,397.74
Modular Uk Building Systems Ltd,1,5884
Officialrecordcouk,1,15.98
St Dunstans,22,34741.44
Satellite Ice,5,156427.69
Shoosmiths Llp,1,350
Matthew D Keddie,4,9929
Kinlochlaich Gardens,2,84.54
M E Duffy,1,867.1
COLLINGHAM VILLAGE PRE-SCHOOL,2,8780.44
VENTURE BANK,1,488.52
GARFORTH BUILDING SUPPLIES LTD,3,2225
Dine Catering Ltd,77,112224.52
T H White,13,15201.1
Lister Hill Baptist Church,8,12828.13
Mrs Gaynor Corcoran,1,161.63
L H Mulligan,11,1860
St Luke'S Comm. & Regenerat. Enterprises,10,44943.11
Aquaid (West Yorkshire),16,5918.2
Shafkot Manduri,38,3862.25
Cheryl Dainty,6,5150
L B Casting Ltd,5,1200
Springfield Nurser,7,659.54
Abc Property Developers,2,8088.4
The Mount Nursing Home,51,164105.84
Robert Blackburn,1,83.92
Urban Splash Build Ltd,1,462.5
Apna Yogo Group,2,1000
